step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,0.0,10.0,0.0,0.0004945131950080395,0.00018369090685155243,0.0011637989664450288,0.00040433855610899627,0.00022622427786700428,0.5612085000029765,0.0,0.0,0.0004945131950080395
1,-30.0,30.0,0.006,-30.0,-0.006,0.0024435888044536114,-0.003932143095880747,0.00238909013569355,0.002454041736200452,0.0009990796679630876,0.004762600001413375,0.0,0.0,0.0004945131950080395
2,24.1104553107919,-21.123332085754107,-0.003133889555354362,8.796184598199135,0.004782906021600386,0.0014847484417259693,0.002454689471051097,-0.0020913032349199057,0.000896243960596621,0.0004967573331668973,0.004386600005091168,0.0,0.0,0.0004945131950080395
3,10.316061986226288,-21.97474151491219,0.00213148765780898,20.317694140382763,-0.0035561040194749573,0.0019562526140362024,-0.0013367581414058805,0.005291635170578957,0.000763589923735708,0.0004330269293859601,0.005400800000643358,0.0,0.0,0.0004945131950080395
4,6.394879040213927,-2.890522471962379,0.0011794465238430757,2.261930819650095,0.0015392468500659599,0.0006977538578212261,0.0007530541042797267,0.001659886445850134,0.00024635708541609347,0.00013171799946576357,0.004304999994928949,0.0,0.0,0.0004945131950080395
5,-6.003241286894843,-11.106095903269512,-0.004084832438514855,9.96398499104071,0.0006645260395935677,0.001350457314401865,0.0004964176914654672,-0.004324081353843212,0.0003974259307142347,0.0001839043979998678,0.010387700007413514,0.0,0.0,0.0004945131950080395
6,23.64978083423726,-6.197824593331901,-0.0005798238592907846,6.179397703533729,0.0007370027070620643,0.0005558410193771124,0.00045627940562553704,0.0008524677832610905,0.0005773852462880313,0.00033723158412612975,0.00433740000880789,0.0,0.0,0.0004945131950080395
7,-5.195334633814255,-3.5422452555002586,0.00018983556671996356,29.350682531343303,0.0009573672777028217,0.0005143353482708335,0.0006641740328632295,0.0005621233722195029,0.0005393895553424954,0.000291654490865767,0.00521380000282079,0.0,0.0,0.0004945131950080395
8,14.414566565344286,28.035656111732802,7.489149107171015e-05,24.1082666349728,-0.00015603573761825283,0.0006907201022841036,7.105644908733666e-05,0.001024819677695632,0.0008725853986106813,0.0007944187964312732,0.005117900000186637,0.0,0.0,0.0004945131950080395
9,-29.249729273810523,-24.272068821934667,-0.0002841623372006841,-20.057825717711584,0.00045557001260711845,0.0009118517627939582,0.0007636846858076751,0.0002568844356574118,0.0020770563278347254,0.0005497814854606986,0.010316899992176332,0.0,0.0,0.0004945131950080395
10,27.56461204804924,-13.311598037757948,0.0014062722638581676,24.447215493063823,0.00039716458662944373,0.0018682025838643312,0.0004057176993228495,0.005220633931457996,0.001128537580370903,0.0007179210660979152,0.00420329999178648,0.0,0.0,0.0004945131950080395
11,-10.887309032728787,8.092303636771764,-0.00045322041622815844,-7.283564035800172,0.0032529637766933,0.0007518300553783774,0.0012456803815439343,-0.0011609018547460437,0.0004140856908634305,0.00018665230891201645,0.01044910000928212,0.0,0.0,0.0004945131950080395
12,-23.794374978411064,4.171622438901319,0.0010896242817660033,-4.4798412067845375,0.00463956626697138,0.0007701701251789927,0.0019796527922153473,-0.00018385837029200047,0.0006424241582863033,0.00027474501985125244,0.005157399995368905,0.0,0.0,0.0004945131950080395
13,-3.1490049936490876,24.988664166431295,0.0003732587375405935,-16.268520930400747,-0.0009189787591241252,0.0006890335353091359,-0.0011543228756636381,-0.0005708972457796335,0.000695611524861306,0.0003353024076204747,0.005141600006027147,0.0,0.0,0.0004945131950080395
14,-16.606745488817992,-0.884250960186446,-0.0004386340938724454,9.230983337329214,-0.0016764541669561336,0.000684634898789227,-0.0006651197909377515,-0.0013522260123863816,0.000484786054585129,0.0002364078682148829,0.010324400005629286,0.0,0.0,0.0004945131950080395
