step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,0.0,10.0,0.0,0.00031611177837476134,9.911233792081475e-05,0.0007093114545568824,0.00020132388453930616,0.00025469946558587253,0.5315753999166191,0.0,0.0,0.00031611177837476134
1,-30.0,30.0,0.006,-30.0,-0.006,0.0023941071704030037,-0.0036533635575324297,0.002627625595778227,0.0027747321873903275,0.0005207083886489272,0.007057799957692623,0.0,0.0,0.00031611177837476134
2,24.110455003545574,-21.123331818567625,-0.002765759973528413,8.796184496329888,0.0050105879683332915,0.00152643583714962,0.0024825348518788815,-0.0025105620734393597,0.00049777259118855,0.0006148741231299937,0.004435100010596216,0.0,0.0,0.00031611177837476134
3,10.316061607966013,-21.97474098223189,0.0015981223890636084,20.31769385051953,-0.003228970646549233,0.0013266662135720253,-0.0013571763411164284,0.0032249800860881805,0.00029504357371479273,0.0004294649406801909,0.003844300052151084,0.0,0.0,0.00031611177837476134
4,6.39487663013692,-2.8905201195536643,0.002623503823310957,2.2619305036711195,0.0012225782875675364,0.0010040502529591322,0.0005910653853788972,0.0030771740712225437,0.00018452944641467184,0.00016343210882041603,0.004393799928948283,0.0,0.0,0.00031611177837476134
5,-6.003235174775276,-11.106094821434356,-0.0032084737117960035,9.963984737392298,8.82115988439053e-06,0.001077201683074236,0.00011706927034538239,-0.003764739027246833,0.00030608210363425314,0.00012091648386558518,0.004614499979652464,0.0,0.0,0.00031611177837476134
6,23.6497750219976,-6.197823274698223,-0.0023231516182434402,6.179401694196656,-0.00046472011801742814,0.000591304968111217,-0.0001372401020489633,-0.0013325101463124156,0.0004494862805586308,0.0004459833726286888,0.0033996999263763428,0.0,0.0,0.00031611177837476134
7,28.463063479900345,-12.66572813784861,0.0032048404269552646,5.240167554167031,-0.00018350485702753102,0.0014493413036689162,7.496975013054907e-05,0.0046030813828110695,0.0005964786978438497,0.000522835471201688,0.006098799989558756,0.0,0.0,0.00031611177837476134
8,11.314908013972936,14.657424324126016,-0.00040224802388186823,5.394469060429065,0.0002485220921742362,0.0003177617327310145,-6.322447006823495e-05,0.00043035694397985935,0.00021148612722754478,0.0005659793969243765,0.004120799945667386,0.0,0.0,0.00031611177837476134
9,27.881154744850917,-14.237879470787904,-0.0004339672488336767,-20.820172508563026,4.74345713011377e-05,0.0006777238450013101,0.00042367709102109075,-0.0004721155564766377,0.0014128938782960176,0.00040220882510766387,0.004373900010250509,0.0,0.0,0.00031611177837476134
10,27.56461199750302,-13.31159363109708,-0.0002633667189269146,24.447213963606977,0.0011415524114608386,0.0009038635762408376,0.0005410027806647122,0.0016567045822739601,0.0006269515724852681,0.0007907951949164271,0.0037260999670252204,0.0,0.0,0.00031611177837476134
11,11.62136872338072,14.219643871941502,-0.0008819968235263762,-27.080656111897646,-0.0007326104196557707,0.0005866380524821579,-0.000773048959672451,-0.0005731455166824162,0.0005441303947009146,0.00045622754259966314,0.003510400070808828,0.0,0.0,0.00031611177837476134
12,10.015968102866735,29.87397303204765,-0.0006671727453508191,23.640351175755026,-0.0006104486628296093,0.0006719424854964018,-0.000340898783179,0.00048376890481449664,0.0002478981332387775,0.0016152040334418416,0.0034388999920338392,0.0,0.0,0.00031611177837476134
13,8.33938921326628,-7.609363841423136,-0.0005739204007427014,-1.81572067840062,-0.0005689393374319145,0.00018410819757264107,-0.00012874588719569147,-0.00017026910791173577,0.00028382110758684576,0.0001535966875962913,0.00377810001373291,0.0,0.0,0.00018410819757264107
14,-1.9767799902893641,-25.372508323286684,-0.0003173317620926772,-3.6208278506542935,0.00021291229853513547,0.00045475896331481636,0.0005734539590775967,8.54645186336711e-05,0.0009647153783589602,0.0001954019389813766,0.004515400039963424,0.0,0.0,0.00018410819757264107
15,10.685979248895123,-16.852021505728278,-0.0009172838481287948,-0.3691893770351128,-0.0003267392625374553,0.0003044429759029299,0.00012626496027223766,-0.0004771994426846504,0.0003402456932235509,0.00027406177832745016,0.008995799929834902,0.0,0.0,0.00018410819757264107
16,12.223670399482494,-4.060546710482233,-0.0006584906292821192,1.9926669833062933,-0.0015740354118264639,0.0003000485594384372,-0.0006510494858957827,-4.988478758605197e-05,0.00027169397799298167,0.00022756600810680538,0.004599399981088936,0.0,0.0,0.00018410819757264107
17,11.061566184324654,-5.154701103089917,-0.000210158300464321,-7.589784636211013,-0.00038665035044776146,0.00017426456906832755,-7.140080560930073e-05,0.0001227249449584633,0.0003696408530231565,0.00013329173089005053,0.003781300038099289,0.0,0.0,0.00017426456906832755
