step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,q1_misalign_x,q1_misalign_y,q2_misalign_x,q2_misalign_y,q3_misalign_x,q3_misalign_y
0,10.0,-10.0,0.0,10.0,0.0,0.00041285480256192386,-0.0001844415528466925,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.4541828999936115,0.0,0.0,0.00041285480256192386,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
1,0.426450069188132,-25.70795334882521,9.19018717400775e-05,-0.04955825047095945,9.187045871841147e-05,0.000665206229314208,-0.0003748193848878145,-0.0010136811761185527,0.0010002929484471679,0.0002720314369071275,0.043178500010981224,0.0,0.0,0.00041285480256192386,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
2,0.00011175134521366699,8.553168913844537,-0.0005514546226533093,0.00016271286973310487,-0.0008975893643572189,0.0001767329958966002,-0.0002753182779997587,-0.00013943116937298328,5.767854963778518e-05,0.00023450399748981,0.0435460000007879,0.0,0.0,0.0001767329958966002,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
3,-0.0012000914580543977,-26.22505510888165,-0.004243962714175115,-0.0013856493502099497,0.004484828314992576,0.0020493329502642155,0.00159362587146461,-0.005266841966658831,0.0010588227305561304,0.00027804053388535976,0.04558120000001509,0.0,0.0,0.0001767329958966002,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
4,-1.2380459533612265e-05,-1.0452168846479117,1.870665962933326e-05,-2.250027514515642e-05,-1.3981012995883055e-05,9.23635161598213e-05,-2.131204746547155e-05,-3.151581040583551e-05,0.00023235405387822539,8.427215652773157e-05,0.05477899999823421,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
5,-0.0009456009537523669,-16.841953724645883,9.205967987491673e-06,-0.0006353965787427647,2.771770989726207e-06,0.000471694947918877,-0.00026503935805521905,-0.0007338448194786906,0.0007394202402792871,0.00014847537386231124,0.05752450000727549,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
6,2.3504518963726516e-05,1.6534529210357545,4.456609403871697e-06,3.012089925133765e-05,1.2463782575882113e-06,9.509644587524235e-05,2.6601968784234487e-05,7.846764492569491e-05,0.0001495225733378902,0.0001257935946341604,0.044739500008290634,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
7,-5.832742807695563e-05,-4.106118863334875,-2.4436385102232727e-05,-8.267130091016744e-05,-1.4365695680134446e-05,0.00016160558152478188,-6.871057848911732e-05,-0.00021213370200712234,0.00032763590570539236,3.7942132621537894e-05,0.018742300002486445,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
8,-1.7610574066236275e-05,-1.4317175301794574,-0.0003690048977903386,-3.0075628578025834e-05,-0.0003440434658012321,0.0002313973818672821,-0.00017576497339177877,-0.00042714361916296184,0.00024430736084468663,7.837352313799784e-05,0.020896699992590584,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
9,2.3020405548662272e-05,-0.33330241264053123,-3.5262328881609096e-05,-8.581115268764214e-06,-3.844387153298153e-05,9.465375478612259e-05,-2.1436013412312604e-05,-5.1614613767014816e-05,0.00021039445709902793,9.516994032310322e-05,0.023385199994663708,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
10,-0.00016487651001981048,-12.520277651895208,-0.0007321730202836233,0.00014178123521771174,0.0017006588604564256,0.0006314186030067503,0.0005696219741366804,-0.0012724907137453556,0.0005968516925349832,8.671018440509215e-05,0.016518999997060746,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
11,-1.1273351473582211e-05,-1.4572224335724113,4.008920592335805e-06,-3.5114535252769634e-05,-2.59230200485349e-08,0.00010226160520687699,-2.1348427253542468e-05,-6.461650627898052e-05,0.0002450966858305037,7.79848123784177e-05,0.015321599988965318,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
12,-5.1958278961017954e-05,-3.2379015272423106,2.0963459196090758e-05,-1.0317047686960154e-05,-1.5346157459035755e-05,0.0001339787122560665,-5.5686097766738385e-05,-0.00012877924018539488,0.000300465093459934,5.098443216411397e-05,0.025805699988268316,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
13,-0.00010699064823865288,-4.199871632760938,0.0055041326639522995,0.0007694932656867332,0.005463367720936624,0.0019840006716549397,0.00239480659365654,0.0051740906201303005,0.00033056014217436314,3.654475585790351e-05,0.02757720000226982,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
14,2.6729126097190338e-05,1.1812534376288226,3.4774136869572495e-05,-6.423970302067162e-05,3.116337978263081e-05,0.00010039456537924707,3.2919400837272406e-05,8.623546455055475e-05,0.0001639369293116033,0.00011848648136947304,0.021668800007319078,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
15,-0.00014637983331128472,8.605907084615895,-2.6560773025124967e-05,0.0002914556831464064,-3.0598573843310124e-05,0.00019625968707259744,0.0001155963764176704,0.0003748773015104234,5.92225042055361e-05,0.00023534260981250554,0.02414810001209844,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
16,-0.0008725722868832716,-24.386950524950404,-0.00018416195380827825,-0.001381360886437405,-4.8205198929996055e-05,0.0007243603467941284,-0.00041469960706308484,-0.0012344475835561752,0.0009951459942385554,0.00025314820231869817,0.019593100005295128,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
17,-6.065591376717596e-05,-5.403084583191669,0.0003958177805387813,-0.00010890471372514546,0.00040217114273308555,0.0001563062978675589,9.851049981079996e-05,0.0001395269064232707,0.00036843415000475943,1.875363159342669e-05,0.021418500007712282,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
18,3.3065836052254184e-05,2.422035346435333,-0.00034599638811369456,4.482999830803434e-05,0.00035201480718385523,0.00017188774654641747,0.00019604404224082828,-0.0002276476880069822,0.00012613626313395798,0.00013772300735581666,0.01975500000116881,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
19,3.33554106922389e-05,2.9050727193162342,-0.00011374874083468484,5.118515602191352e-05,0.00010838933725221096,9.290727030020207e-05,9.367844904772937e-05,2.1220865164650604e-05,0.00011148632620461285,0.00014524345169775188,0.018309699997189455,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
20,0.00010652970407401476,3.5245011702616718,-0.0001158428697981413,8.733285105767301e-05,0.00011603120073123143,0.00010052205470856279,0.00010640937398420647,4.8010708269430324e-05,9.275240154238418e-05,0.00015491574595216662,0.016908699995838106,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
21,1.4280953937571605e-05,0.910933402435249,4.82763066765962e-05,1.5575847620774526e-05,4.4590075314290915e-05,0.0001020808849716559,3.4862339816754684e-05,8.69465438881889e-05,0.0001722025335766375,0.00011431208986323327,0.019600599989644252,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
22,-0.00022081616349486636,-8.855065258421593,-0.0020674059132477366,-0.00017764053713295317,0.0019869784416952,0.0009209630079567432,0.0007572420290671289,-0.0024149089585989714,0.0004782718315254897,3.3429354516556486e-05,0.020661699993070215,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
23,0.0003598715527943167,-1.9157893188325934,-0.00014511772030141343,0.0008158283168426256,0.00012926740164295584,0.00014774227747693658,2.9782127967337146e-05,-0.00023089438036549836,0.00025927479146048427,7.101781375240535e-05,0.030353199996170588,0.0,0.0,9.23635161598213e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
24,-1.116922120025979e-05,-1.2286122496067147,7.805093124488553e-05,-2.3453751388618345e-05,6.837761169354099e-05,8.760470518609509e-05,1.2939339285367168e-05,1.7984861187869683e-05,0.0002380228543188423,8.147178596118465e-05,0.025634999998146668,0.0,0.0,8.760470518609509e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
25,-0.0004653355735522006,0.311194663075843,0.0002048940149294147,-0.0012439499632968351,-4.924393259644463e-05,0.0001310613879468292,-1.6463482097606175e-05,0.00021210940030869097,0.00019062450155615807,0.00010504818783374503,0.021222899988060817,0.0,0.0,8.760470518609509e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
26,2.8208814980268375e-05,-0.6354699608937213,1.3297794909408252e-05,-1.5958627936713588e-05,-1.2133929713569584e-05,8.563568553654477e-05,-1.4211726920621004e-05,-1.808637534850277e-05,0.0002197048015659675,9.053982648765668e-05,0.017236800005775876,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
27,-9.863631457890612e-07,0.7740264811429228,-8.567556931637835e-05,7.546049690080567e-05,-0.00012763533781413907,9.58170130616054e-05,-4.471734064281918e-05,-4.9957645387621596e-05,0.00017639306315686554,0.0001122000248869881,0.017254499995033257,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
28,0.0003385128744054365,-1.9581713326881012,-0.0017114281932673172,-4.0250843665744066e-05,0.0017097857707582828,0.0007078241324052215,0.0007403700728900731,-0.0017599521670490503,0.0002606076595839113,7.036663009785116e-05,0.02015440000104718,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
29,0.00016222772687226502,9.166410261475097,-1.2372881402084366e-05,0.00019312562666029347,1.1951804905305958e-05,0.00021961357560940087,0.00014292246487457305,0.0004154985654167831,7.568987348349765e-05,0.000244343449594453,0.018692300000111572,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
30,6.76594095534878e-05,5.866709073831535,-1.570889177544268e-05,0.00016178392494940502,-2.2728722473795172e-05,0.00013719452545046806,7.885012018959969e-05,0.0002554549428168684,2.272783785883803e-05,0.00019174517365172505,0.021658799989381805,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
31,0.00017716110701494672,12.12584539511264,1.7966655366052438e-06,0.0002620599609175802,-1.3489508978397534e-05,0.00030012649949640036,0.00017427168495487422,0.000572037766687572,0.00016197282820940018,0.0002922237617895007,0.03421509999316186,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
32,-3.4533109882174685e-05,-3.094222622602991,9.171985347367363e-05,-6.850235799430089e-05,8.121050933230222e-05,0.00010311255027772859,-1.0012128768721595e-05,-5.330635394784622e-05,0.0002959802804980427,5.3151459724176675e-05,0.020442400011233985,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
33,3.818277000627514e-05,-0.8927890225157392,-0.0007173944528368582,-4.500514726956623e-05,0.0007257865500887026,0.00034260639222338796,0.0003139171749353409,-0.0007422614144161344,0.000227644297410734,8.660271123517305e-05,0.02646239999739919,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
34,4.5577204256987444e-05,3.2363409623262127,-0.000402898726568084,6.237439334640368e-05,0.0004037401319433699,0.00018218063632957637,0.00023155925737228245,-0.00024529092479497194,0.00010146061686100438,0.0001504117390140891,0.01750940000056289,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
35,4.773054457545388e-05,3.488689027270157,0.0001064766534785348,6.7673351652865e-05,-0.00010591973955693216,0.00012932292884215713,5.995203991915332e-06,0.0002631063398439437,9.38360026339069e-05,0.00015435414388775826,0.018786200002068654,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
36,1.7216173049349707e-05,1.9724382642947227,2.66703457628412e-05,5.554402373375395e-05,1.968512159314215e-05,0.00010628440941218287,3.971729529439472e-05,0.00011487578740343451,0.00013980547373648733,0.0001307390775764361,0.01934330000949558,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
37,-0.0009817012826371261,-22.104967217329516,0.0031974874383794683,-0.0005007573889963628,0.003198432160791205,0.0010948850540444255,0.0010850817197933793,0.0021556997671723366,0.0009168428950943053,0.00022191602329257876,0.02590059999783989,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
38,0.00013079662690504895,-22.195165404741683,-0.0011590150544368144,-0.0004562111113345071,0.0011811745798508443,0.0008535776287317276,0.0001757899735821411,-0.0020955463405698538,0.0009198167244903743,0.00022315738897304982,0.017034000004059635,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
39,0.00010805063007861227,3.392027589535611,-0.0004333891114261414,-4.95775699315917e-05,0.0004353552262502241,0.0001913723535835743,0.0002481216797605157,-0.0002677693555597216,9.675458568381146e-05,0.0001528437715023756,0.02469299999938812,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
40,0.0009216979790712162,-5.5114124269259,-0.0037259742395075,0.00035984028087455847,-0.003738220341152123,0.0015098708681762218,-0.0017663631588220596,-0.003884128062054515,0.0003717874060384929,1.7204942196258344e-05,0.021681600002921186,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
41,9.91756944375959e-05,7.850843212029533,0.001102149828072965,0.000150387259131929,0.0011162043037684633,0.0005800690851174295,0.0006206080433912575,0.0014393578749150038,3.703822585521266e-05,0.00022327217448037118,0.024042500008363277,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
42,4.6510847005233306e-05,3.683720545279876,-9.064236086662208e-05,6.88811337972898e-05,9.102086296854187e-05,0.00010572612518444657,9.75389702944085e-05,8.001041715033352e-05,8.795074973022565e-05,0.000157404356286861,0.018470099996193312,0.0,0.0,8.563568553654477e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
43,9.85356199945028e-06,0.6774673993558423,-4.7943828632849025e-06,1.2754124756039809e-05,6.085187347478481e-06,8.212843385990709e-05,1.399125721945893e-05,2.446047255943995e-05,0.0001793511473806575,0.0001107108619180508,0.018833800000720657,0.0,0.0,8.212843385990709e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
44,-0.00035259088902628863,-29.99982874039751,0.0020016607929419783,-0.002058841835792295,0.0019699190420415296,0.0006470352527685463,0.0003963102353736758,0.0006722683901898563,0.0011911409674212337,0.00032842138898558915,0.020644699994591065,0.0,0.0,8.212843385990709e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
45,0.000133691403173971,12.48052146596017,0.006,0.0002339860684989698,-0.006,0.0023555918596684933,-0.0025145707186311483,0.006437559612095356,0.00017223230679519475,0.0002980048593599349,0.019197300003725104,0.0,0.0,8.212843385990709e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
46,0.0002877320586031049,-0.7678664440153787,0.00045476715106740047,0.0002757087299426889,-0.0004554921398473405,0.00023358207545243204,-0.00021574972197413445,0.00040628580609336495,0.000223771421588026,8.852133760228753e-05,0.019947900000261143,0.0,0.0,8.212843385990709e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
47,0.00010739073496834003,-23.863552644027536,-0.003905028948546123,-0.0004920634942393691,0.0039025004553479904,0.0018590246327221394,0.001372055383399129,-0.0048410361632704735,0.0009769854368641973,0.0002460214600432664,0.028977199996006675,0.0,0.0,8.212843385990709e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
48,0.002931803546981841,-1.979926840703049,-0.0016602312060289668,0.0013311904052876824,0.0016512601118884415,0.0006890298100188375,0.0007136878557503223,-0.0017112024361267686,0.00026113088824786246,7.009811815805733e-05,0.019316499994602054,0.0,0.0,8.212843385990709e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
49,0.00033706678724027515,4.756899187695248,-0.0021507329753491914,5.456701713223936e-05,0.002071640638248796,0.0007782921893522143,0.0010048386175185442,-0.0018783959094434977,5.56859522475861e-05,0.00017424809630028903,0.02458479999040719,0.0,0.0,8.212843385990709e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
50,3.9787054986344725e-05,3.154685914552947,-0.00011578740137430081,5.8883434617150854e-05,0.0001157483753508095,9.616192255634815e-05,0.00010073794692289084,3.084253694396466e-05,0.0001039303169818595,0.0001491369039285928,0.019846400013193488,0.0,0.0,8.212843385990709e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
51,-0.00010585180820620044,-7.604900458639731,0.0031114656769527325,0.00015552149076279584,0.0028554738568697794,0.0010777577990666032,0.0011678797891363502,0.0026895219925791025,0.0004382726619951427,1.535683622932993e-05,0.020606499994755723,0.0,0.0,8.212843385990709e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
52,-8.449458997882654e-05,-6.14196674791354,-0.00011571532806198368,-0.0001319470551343877,0.00012055348153493037,0.00020805830718018115,-3.97932089981623e-05,-0.00039214236312545836,0.00039179204031825066,8.505627192789689e-06,0.023280000008526258,0.0,0.0,8.212843385990709e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
