step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,learned_q1_offset_x,learned_q1_offset_y,learned_q2_offset_x,learned_q2_offset_y,learned_q3_offset_x,learned_q3_offset_y
0,10.0,-10.0,0.0,10.0,0.0,0.0004945131945198177,0.00018369090096675777,0.0011637990605705192,0.00040433856427288126,0.00022622425226911244,0.43595890000869986,0.0,0.0,0.0004945131945198177,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
1,-0.09804588870540992,-16.35424957162309,5.3768475520431676e-05,-0.20677981465455644,-1.3631831805714101e-05,0.00040016922393074463,0.0002588714097482604,0.0007698371117620525,0.00039773377105193296,0.00017423460316073257,0.008581699992646463,0.0,0.0,0.00040016922393074463,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
2,-4.038659339775856e-05,3.8767965595498985,0.0007260044265598308,-7.724977232803285e-05,-0.0006544912584507902,0.00029871473762879203,-0.0003531260025974416,0.0005243229660341338,0.00020780505239919298,0.00010960492948439978,0.008017100000870414,0.0,0.0,0.00029871473762879203,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
3,-5.6916007926298725e-05,6.764870631862724,4.450624370916998e-05,-0.0003059124113071683,3.0370745206280377e-05,0.0001798315142420807,-8.857671021373712e-05,-0.00027760457274308487,0.00022897957834948544,0.0001241651956620153,0.008398000005399808,0.0,0.0,0.0001798315142420807,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
4,1.2563999164517977e-05,-4.033450794535975,-4.210839201325258e-06,4.4225495332241455e-05,-0.00036489685364933885,0.0001510311442790675,-0.00010010187919346273,0.0001792411347705683,0.00022041255638077605,0.00010436900677146283,0.0069958999956725165,0.0,0.0,0.0001510311442790675,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
5,7.641972464566024e-05,3.3522756161702447,6.093815226781098e-05,-1.5142571535201976e-05,-5.794210999353249e-05,0.00012221277199717638,-7.668680724376768e-05,-9.934598002706283e-05,0.00020523968058569242,0.00010757862013218255,0.015396000002510846,0.0,0.0,0.00012221277199717638,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
6,3.5561255202896386e-05,-1.8827702967717195,0.0001224668236468676,3.745941812653663e-05,3.173492348974211e-05,0.00013882544859986467,4.45549497808332e-05,0.00020439432788948352,0.00020606476609449022,0.00010028775063465171,0.00874209999165032,0.0,0.0,0.00012221277199717638,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
7,-0.00832749262826632,-26.252062709250353,-0.003991600817450355,-0.0025724254785586867,0.0039085955390701374,0.0014458174730733817,0.0021932728396775736,-0.002751560858996604,0.0005889189200414995,0.00024951727357784955,0.008722700004000217,0.0,0.0,0.00012221277199717638,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
8,6.883303341739275e-05,-7.487897849671234,-0.00011542406973730313,-0.00044620853476501983,-0.00017580391447697888,0.00016043519895919643,4.005582098030161e-05,0.0002266297822772339,0.0002570844635329198,0.00011797072904633038,0.006929600000148639,0.0,0.0,0.00012221277199717638,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
9,-1.0787861554114728e-05,-2.704731294023917,7.647836180923981e-07,-5.362088648290289e-05,1.568137665239441e-07,0.0001196812331963214,4.3231302083094745e-05,0.00012344445894218998,0.00021066079827523538,0.00010138837348476553,0.009517200000118464,0.0,0.0,0.0001196812331963214,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
10,9.673328472265262e-05,-1.949604528238924,0.00037310692215481746,-6.957117471837889e-06,0.00037979111039082304,0.00024020459201039662,0.00020222584513171818,0.0004518420917596785,0.0002063953356516432,0.00010035509549854658,0.00834210000175517,0.0,0.0,0.0001196812331963214,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
11,0.0005069450098699981,-10.0717705974628,4.162077042339787e-05,-3.088413863842645e-05,-4.362734399013833e-05,0.0002651877014120297,0.000141321920536535,0.0004946027311860097,0.0002926166061237785,0.00013220954780179565,0.01307670000824146,0.0,0.0,0.0001196812331963214,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
12,3.35667152057138e-05,-2.2650309457435123,-9.885539377559713e-05,4.135820301466388e-05,-9.521583686409644e-05,8.038355960238016e-05,-6.585923061988209e-06,6.16256626987806e-06,0.00020805951476751973,0.00010072623431013465,0.015529700001934543,0.0,0.0,8.038355960238016e-05,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
13,0.00017911971970935146,-6.921810802527297,-5.7388431064331135e-05,0.0002645160973557132,5.830688624901886e-05,0.0001898924456641104,0.00013632236597625128,0.00025787916459372106,0.00025011549119104723,0.00011525276089542201,0.009463700000196695,0.0,0.0,8.038355960238016e-05,0.0,0.0002,0.0001,-0.0003,-0.0001,0.00015
