step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,learned_q1_offset_x,learned_q1_offset_y,learned_q2_offset_x,learned_q2_offset_y,learned_q3_offset_x,learned_q3_offset_y
0,10.0,-10.0,0.0,10.0,0.0,0.00031611177837476134,9.911233792081475e-05,0.0007093114545568824,0.00020132388453930616,0.00025469946558587253,0.5893019000068307,0.0,0.0,0.00031611177837476134,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
1,-8.738473812616981e-05,16.388942599745512,-0.00016731152687083208,0.7539832408496102,-0.00038620132416042623,0.0003406798932701349,-0.0004101323429495096,-0.0003892379463650286,0.00029468940920196474,0.00026865978725254536,0.005823699990287423,0.0,0.0,0.00031611177837476134,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
2,-0.00017749741274929352,16.51368910222478,-0.003071903854710197,-1.6455864113513773e-05,5.959065843224511e-05,0.000997915049083531,-0.00021818612003698945,-0.0032160133123397827,0.0002983101294375956,0.00025915075093507767,0.0035847999388352036,0.0,0.0,0.00031611177837476134,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
3,-7.624286078164017e-05,10.549546596471897,-0.0006966103405555467,-3.309181968771275e-07,-0.0006960508966588565,0.00041849695844575763,-0.000471711769932881,-0.0008005363051779568,0.00020818921620957553,0.00019355046970304102,0.003631899948231876,0.0,0.0,0.00031611177837476134,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
4,-6.748188686819333e-05,6.650398399743614,-0.00030720320341612637,-9.749020469312587e-07,-0.0003131658295357551,0.0002315148594789207,-0.00024144654162228107,-0.0003572691057343036,0.00017323439533356577,0.0001541094243293628,0.0045543999876827,0.0,0.0,0.0002315148594789207,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
5,-7.620680310747516e-05,6.006404132442074,-4.7675959101075025e-06,-1.4492259305962471e-05,-9.66251987986346e-06,0.00011646465281955898,-9.51881957007572e-05,-5.200423038331792e-05,0.0001706841285340488,0.00014798203483223915,0.004460000083781779,0.0,0.0,0.00011646465281955898,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
6,-7.801167625611383e-05,11.703345128795263,3.626820524486209e-05,3.0747687592755325e-09,-5.0692103762198156e-05,0.00018309219740331173,-0.00019823916954919696,-0.00010502368968445808,0.0002232774131698534,0.00020582854631356895,0.004353799973614514,0.0,0.0,0.00011646465281955898,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
7,-7.84488473463472e-05,11.727321336206602,-5.3673956368603525e-05,-1.0884960571379449e-06,-6.837417654515283e-05,0.0002073386567644775,-0.00020654709078371525,-0.00019311418873257935,0.00022360726143233478,0.00020608611521311104,0.003871800028719008,0.0,0.0,0.00011646465281955898,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
8,-5.755114691612969e-05,2.6773387002444875,7.931080788682856e-05,-1.5399394413995703e-06,7.21789248705018e-05,9.636659524403512e-05,-7.818878657417372e-06,8.318010077346116e-05,0.00017557901446707547,0.00011888837616425008,0.005299199954606593,0.0,0.0,9.636659524403512e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
9,-7.817616805569506e-05,6.868800886733156,-0.00034954259670462765,-5.003915068570955e-06,0.00038932117729097225,0.00020100866095162928,7.139603258110583e-05,-0.0004020817286800593,0.00017434038454666734,0.00015621649799868464,0.003916100016795099,0.0,0.0,9.636659524403512e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
10,0.00013499110565086034,-13.999852746377615,0.00029558698476792446,-0.0004303770066564009,-0.0002882109661587976,0.0003085271455347538,9.576858428772539e-05,0.0005479964893311262,0.00046167828259058297,0.00012866522592958063,0.004627899965271354,0.0,0.0,9.636659524403512e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
11,-7.640829815765272e-05,7.49649196291833,-0.0013350881288366938,2.913569415186939e-05,0.00019211961939550993,0.00043510334216989577,-2.6741687179310247e-05,-0.0013731583021581173,0.0001781636237865314,0.00016234981012530625,0.003870899905450642,0.0,0.0,9.636659524403512e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
12,-3.806688633801217e-05,-0.9455511469244253,-0.0008111597124510627,-5.100621883447851e-06,-0.0009258660649628933,0.00035901356022804976,-0.0004009978729300201,-0.000728084531147033,0.00021209917031228542,9.487261559115723e-05,0.004177300026640296,0.0,0.0,9.636659524403512e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
13,-6.034043020464568e-05,5.748459913818381,0.000903178764254033,-0.0005198567799800336,-0.004228328615354588,0.0007856559241190553,-0.0019897029269486666,0.0008373861783184111,0.0001699740969343111,0.00014556068344973028,0.0034890000242739916,0.0,0.0,9.636659524403512e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
14,-4.006113833474995e-05,1.6203067354134848,0.0007061029310893286,-1.106602478348231e-05,0.0007030621743796282,0.00032437010668218136,0.0002922987041529268,0.0007110200822353363,0.0001833152782637626,0.00011084631114499643,0.003511899965815246,0.0,0.0,9.636659524403512e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
15,0.00012333323539025136,-10.337703218460861,-0.0011293981668623683,-7.037501432575388e-05,-0.0011226483422846242,0.000430157728260383,-0.0003399073611944914,-0.0008953420328907669,0.0003825240128207952,0.0001028574479278177,0.0035833000438287854,0.0,0.0,9.636659524403512e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
16,-5.0762420455310995e-05,0.49242277078178154,-8.086003662888042e-05,-2.0144354322492436e-06,-8.482258734446662e-05,9.522442996967584e-05,-4.4849868572782725e-05,-3.8525238778674975e-05,0.00019439429161138833,0.00010312833182979375,0.004366299952380359,0.0,0.0,9.522442996967584e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
17,-9.071063754099045e-05,-7.979694097468958,-0.000118674736840652,-4.751557261866613e-06,-0.00012339368208775776,0.00013786742056254297,7.155602361308411e-05,5.481954212882556e-05,0.0003341718693263829,9.092225809581578e-05,0.008658200036734343,0.0,0.0,9.522442996967584e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
18,-8.273795035182049e-05,9.935127662617132,-7.82750077875111e-05,-6.70031528534659e-06,-7.491219417598675e-05,0.00018966846982948482,-0.00018313934560865164,-0.0001875605812529102,0.00020086312724743038,0.00018711085431277752,0.009898999938741326,0.0,0.0,9.522442996967584e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
19,-6.675538513408945e-05,6.641210913344139,-4.561937975118477e-05,7.377274890751447e-06,1.2958523157741785e-05,0.0001309601793764159,-9.455265535507351e-05,-0.00010207637387793511,0.00017319046310149133,0.00015402121061924845,0.009343200013972819,0.0,0.0,9.522442996967584e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
20,-7.814308242718575e-05,4.984353048321174,6.738782803867854e-05,3.720592146703781e-05,5.8547675306478076e-05,9.782642882782966e-05,-4.906467074761167e-05,3.477252903394401e-05,0.00016891892300918698,0.00013854959979653358,0.004328700015321374,0.0,0.0,9.522442996967584e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
21,-1.1449492970172026e-06,-6.517690835102849,-8.26412319322499e-05,-0.0007906296973925182,-1.669857320047883e-05,0.0001389767712680623,9.610025153961033e-05,6.786359153920785e-05,0.0003055729903280735,8.637023711344227e-05,0.008534700027666986,0.0,0.0,9.522442996967584e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
22,0.001700441083421492,-29.542057076129105,-0.000801395766220128,0.001836803823607307,-0.0007866390273903093,0.0003845948667731136,0.0001384789211442694,-0.00030331200105138123,0.0008306086529046297,0.00026597987744025886,0.003503600019030273,0.0,0.0,9.522442996967584e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
23,-6.894211699168574e-05,-3.0683247219506016,-0.0005946879149098659,-0.0001215619026347131,-0.0006046151763999185,0.0002595127443782985,-0.00022319858544506133,-0.0004841215559281409,0.00024395139189437032,8.677952428115532e-05,0.004394399933516979,0.0,0.0,9.522442996967584e-05,0.0,0.00020000000674508017,0.00010000002335792469,-0.00030000001485872485,-0.00010000000905280927,0.0001500000408633925
