step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,learned_q1_offset_x,learned_q1_offset_y,learned_q2_offset_x,learned_q2_offset_y,learned_q3_offset_x,learned_q3_offset_y
0,10.0,-10.0,0.0,10.0,0.0,0.0004945131945198177,0.00018369090096675777,0.0011637990605705192,0.00040433856427288126,0.00022622425226911244,0.014340500012622215,0.0,0.0,0.0004945131945198177,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
1,0.00018076000768374494,-12.28895116348079,-3.664892341831647e-05,0.31032920502756817,2.249970891405441e-05,0.00030162747477703215,0.00020771261900339512,0.0005258588606179399,0.0003263424283830899,0.00014659599110370363,0.019002599990926683,0.0,0.0,0.00030162747477703215,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
2,0.00011842331415396971,-18.593053070538247,-0.000530779286924083,-0.0008998152832948134,0.003359053354068246,0.0006869759180447117,0.0018139798455024411,0.0003048382066595965,0.0004379648523414456,0.00019112076767536357,0.013035099997068755,0.0,0.0,0.00030162747477703215,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
3,-3.246211038560574e-05,1.3236032856305793,0.00010839515035735417,-0.0007965597422580303,-7.549317805426888e-05,9.927832496384023e-05,-5.34907031672571e-05,4.2098995995573264e-05,0.0001996767920476803,0.00010184680864485023,0.011749100012821145,0.0,0.0,9.927832496384023e-05,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
4,0.0009140970642551559,-16.01807097345501,3.468540014402645e-05,0.00029932851882439633,-0.00012655476898299617,0.00037790609422033695,0.0002021158949385863,0.0007465676286662203,0.00039076466788368395,0.00017217618539285738,0.019085799998720177,0.0,0.0,9.927832496384023e-05,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
5,3.96287836435012e-05,-2.472313758287871,-1.6558112973095535e-05,2.559054089169825e-05,2.552987004928904e-05,0.00011429327145773074,5.1000587216174415e-05,9.590951208510576e-05,0.00020924537795305077,0.00010101760857659199,0.011452399994595908,0.0,0.0,9.927832496384023e-05,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
6,1.8528863819235562e-05,-1.8815665683569405,-1.6070061655952767e-05,3.441714517933059e-05,1.6116132731094978e-05,0.00010327944799269832,3.7507639495362025e-05,6.92646793143019e-05,0.00020605891373473781,0.00010028655942639154,0.019429599997238256,0.0,0.0,9.927832496384023e-05,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
7,-4.5471867725509595e-05,-2.237844153193004,-0.00012721414621578428,-0.0005577419884737064,0.0001279788745914299,0.00010619204240604202,9.342119416175191e-05,-2.2746262664308922e-05,0.0002079104242320251,0.00010069028856608218,0.011512600001879036,0.0,0.0,9.927832496384023e-05,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
8,7.352140875889804e-05,-29.308980011380783,0.001078744011303718,-0.0026819430929309286,-0.0011298085917849324,0.0008151444609003288,-2.0032268907654513e-05,0.0023149832883916787,0.0006524776155686836,0.00027308467073329854,0.012308100005611777,0.0,0.0,9.927832496384023e-05,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
9,-2.0771757467358996e-05,1.9065853216890374,0.0001515767993523141,-2.0359488203102012e-05,0.0001497155158067476,9.987865035396173e-05,3.88913431596519e-05,5.695194466408663e-05,0.00020053591322839658,0.00010313540036371181,0.011518999992404133,0.0,0.0,9.927832496384023e-05,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
