step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae,learned_q1_offset_x,learned_q1_offset_y,learned_q2_offset_x,learned_q2_offset_y,learned_q3_offset_x,learned_q3_offset_y
0,10.0,-10.0,0.0,10.0,0.0,0.0004945131945198177,0.00018369090096675777,0.0011637990605705192,0.00040433856427288126,0.00022622425226911244,0.007849100002204068,0.0,0.0,0.0004945131945198177,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
1,10.0,-10.0,0.0,10.0,0.0,0.0004945131945198177,0.00018369090096675777,0.0011637990605705192,0.00040433856427288126,0.00022622425226911244,0.00735099999292288,0.0,0.0,0.0004945131945198177,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
2,10.0,-10.0,0.0,10.0,0.00025,0.0005226381937747597,0.0002961908979865255,0.0011637990605705192,0.00040433856427288126,0.00022622425226911244,0.008765499995206483,0.0,0.0,0.0004945131945198177,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
3,10.0,-10.0,0.00025,10.0,0.0,0.0005700057221835013,0.00018369090096675777,0.0014657691712252538,0.00040433856427288126,0.00022622425226911244,0.007070899999234825,0.0,0.0,0.0004945131945198177,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
4,10.5,-10.0,0.0,10.0,0.0,0.0005029110395970773,0.0001836215215726564,0.001184672033948907,0.0004121564786516849,0.00023119412421506103,0.006955800010473467,0.0,0.0,0.0004945131945198177,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
5,10.0,-10.5,0.0,10.0,0.0,0.0005024814280231523,0.00018880939189429058,0.0011805774993565116,0.00041115851212748664,0.00022938030871432074,0.008738999997149222,0.0,0.0,0.0004945131945198177,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
6,10.0,-10.0,0.0,10.5,0.0,0.0005028366691548592,0.0001849822028422246,0.0011877953098139349,0.00040888560457577714,0.00022968355938750025,0.006328999996185303,0.0,0.0,0.0004945131945198177,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
7,10.2,-10.2,-0.00025,10.2,0.0001,0.00043981450289618706,0.00023120298345266773,0.0008852841364944861,0.0004119447624771419,0.00023082612916045244,0.006815000000642613,0.0,0.0,0.00043981450289618706,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
8,10.239999999999998,-10.239999999999998,-0.00035,10.239999999999998,0.00012,0.00041363818554439395,0.00024070004962781075,0.0007686153824174704,0.00041348125824411944,0.00023175605188817516,0.008554400003049523,0.0,0.0,0.00041363818554439395,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
9,10.296,-10.296,-0.00014,10.296,-0.000202,0.00044384468132722683,9.649295071882693e-05,0.0010301815478000566,0.0004156409191810546,0.000233063307608969,0.006423300001188181,0.0,0.0,0.00041363818554439395,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
10,9.714400000000001,-10.4144,-0.000196,10.4144,-3.28e-05,0.0004399380748061979,0.00017418175444470162,0.0009473157566009464,0.00040936317894254404,0.00022889160923659978,0.00639680000313092,0.0,0.0,0.00041363818554439395,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
11,10.100159999999999,-10.58016,-0.0002744,9.88016,-4.592e-05,0.00041557219902187213,0.00016868324446755312,0.0008507860504737526,0.00041275613108673214,0.00023006337005945055,0.006549700003233738,0.0,0.0,0.00041363818554439395,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
12,10.140224,-10.112223999999998,-0.00038416,10.332224,-6.428799999999999e-05,0.0003801815366788869,0.00015672677955743753,0.0007223699384429443,0.0004110276899663531,0.0002306017387488126,0.006548699995619245,0.0,0.0,0.0003801815366788869,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
13,10.1682688,-10.034668799999999,-0.00046099199999999997,10.3986688,-7.714559999999998e-05,0.00035556172972866373,0.0001503291403142236,0.0006300259355370335,0.00041102856968280817,0.00023086327338058964,0.006354400000418536,0.0,0.0,0.00035556172972866373,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
14,10.20753152,-10.626091519999996,-0.0005685568,10.491691519999996,-9.514623999999999e-05,0.00033210362969431187,0.00014834876692445452,0.0005237510774246831,0.00042063376784234077,0.00023568090658576923,0.007440699992002919,0.0,0.0,0.00033210362969431187,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
15,10.249037823999998,-10.751309823999993,-0.0006822681599999999,10.590029823999995,-0.00011417548799999999,0.0002992478760751173,0.00014123937045111088,0.00039416378904960793,0.000423968855010183,0.0002376194897895672,0.006913600009283982,0.0,0.0,0.0002992478760751173,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
16,9.8927466496,-10.512215449599996,-0.0006454640640000001,10.3133034496,0.0001419835648,0.00032599370219423836,0.0002535581548998164,0.00040734402199607057,0.00041250771167078155,0.00023056492021028479,0.00662360001297202,0.0,0.0,0.0002992478760751173,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
17,10.54568530944,-10.432941629439991,-0.0007692496896,10.154464829439995,4.269699072000001e-05,0.0002848351168929456,0.00020762023246227655,0.0002760689606029538,0.00042019120860851007,0.0002354600658980421,0.007635399990249425,0.0,0.0,0.0002848351168929456,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
18,10.711942371327998,-10.43664995532799,-0.00088389962752,10.102477795327996,5.779638886400001e-05,0.0002540359065549228,0.00021430791470777145,0.00014259003638262456,0.00042243788589220216,0.00023680778923709304,0.006412999995518476,0.0,0.0,0.0002540359065549228,2.811252832266792e-06,0.00020194487419689837,9.519355910273279e-05,-0.0002990786512534913,-6.074110761213263e-05,0.0001226324848950688
