step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,0.0,10.0,0.0,0.00031611177837476134,9.911233792081475e-05,0.0007093114545568824,0.00020132388453930616,0.00025469946558587253,0.4983276999555528,0.0,0.0,0.00031611177837476134
1,10.0,-10.0,0.0,10.0,0.0,0.00031611177837476134,9.911233792081475e-05,0.0007093114545568824,0.00020132388453930616,0.00025469946558587253,0.0041253999806940556,0.0,0.0,0.00031611177837476134
2,10.0,-10.0,0.0,10.0,0.00025,0.0003442367888055742,0.0002116123359883204,0.0007093114545568824,0.00020132388453930616,0.00025469946558587253,0.0039447000017389655,0.0,0.0,0.00031611177837476134
3,10.0,-10.0,0.00025,10.0,0.0,0.0003916043206118047,9.911233792081475e-05,0.001011281507089734,0.00020132388453930616,0.00025469946558587253,0.004304300062358379,0.0,0.0,0.00031611177837476134
4,10.5,-10.0,0.0,10.0,0.0,0.0003249136498197913,9.90429543890059e-05,0.0007301844307221472,0.00020776595920324326,0.00026266122586093843,0.0041183000430464745,0.0,0.0,0.00031611177837476134
5,10.0,-10.5,0.0,10.0,0.0,0.0003171458374708891,0.00010423082858324051,0.0007058284245431423,0.00020343851065263152,0.00025508549879305065,0.004204299999400973,0.0,0.0,0.00031611177837476134
6,10.0,-10.0,0.0,10.5,0.0,0.00031919762841425836,9.62810663622804e-05,0.0007228407775983214,0.00019960828649345785,0.0002580604050308466,0.007030100096017122,0.0,0.0,0.00031611177837476134
7,10.2,-10.2,-0.00025,10.2,0.0001,0.0002566675248090178,0.00014497418305836618,0.00041845583473332226,0.00020394669263623655,0.00025929335970431566,0.01013259997125715,0.0,0.0,0.0002566675248090178
8,10.239999999999998,-10.239999999999998,-0.00035,10.239999999999998,0.00012,0.00022953700681682676,0.00015414136578328907,0.0002993083035107702,0.0002044770953943953,0.00026022124802693725,0.008191199973225594,0.0,0.0,0.00022953700681682676
9,10.296,-10.296,-0.00014,10.296,-0.000202,0.00025840476155281067,9.472605597693473e-06,0.0005573983071371913,0.00020522276463452727,0.000261525361565873,0.003954300074838102,0.0,0.0,0.00022953700681682676
10,9.714400000000001,-10.4144,-0.000196,10.4144,-3.28e-05,0.00025114891468547285,8.61856751726009e-05,0.00046716025099158287,0.00019817228894680738,0.00025307750911451876,0.0034716000081971288,0.0,0.0,0.00022953700681682676
11,10.100159999999999,-10.58016,-0.0002744,9.88016,-4.592e-05,0.00023048951698001474,8.5094288806431e-05,0.0003753786731977016,0.00020546007726807147,0.0002560250577516854,0.0033951998921111226,0.0,0.0,0.00022953700681682676
12,10.140224,-10.112223999999998,-0.00038416,10.332224,-6.428799999999999e-05,0.00019682856509462,6.940784805919975e-05,0.0002563352172728628,0.000202382609131746,0.00025918855681084096,0.0032781000481918454,0.0,0.0,0.00019682856509462
