step,q1,q2,q3,cv,ch,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-10.0,10.0,10.0,0.0,0.0,3.5676100651471643e-07,-14.846199989318848,0.0005577479023486376,-7.491603374481201,0.3648517000001448,0.0,0.0,0.0005577479023486376
1,-26.514983269908033,21.970568746496113,6.066900704592527,0.002496870933552546,-0.005752986068450371,4.017829633085057e-05,-10.122183799743652,0.00552279083058238,-5.198872089385986,0.002663299997948343,0.0,0.0,0.0005577479023486376
2,28.19459112971966,19.946558448025307,-17.25965335930343,-0.003818100393514793,-0.0037991458817587943,2.063505962723866e-05,-10.788518905639648,0.004520604852586985,-5.399109363555908,0.002662100003362866,0.0,0.0,0.0005577479023486376
3,-11.745465422427735,1.4853858979342718,-4.0832988814730555,-0.002505250317623497,0.0013422347366685537,9.40530480875168e-06,-11.574236869812012,0.002717008348554373,-5.908224105834961,0.002562099998613121,0.0,0.0,0.0005577479023486376
4,-21.63036836087749,-12.47132108788691,-8.0182894023785,-0.0005271601893955691,0.003422111536716163,0.00012068791693309322,-9.022302627563477,0.008632782846689224,-4.752188205718994,0.002580200001830235,0.0,0.0,0.0005577479023486376
5,0.6191282338644296,15.703247618568263,22.665633327353717,0.000876418500255256,-0.0043691973378788525,3.588702020351775e-05,-10.235135078430176,0.004819496069103479,-5.335085868835449,0.007058899998810375,0.0,0.0,0.0005577479023486376
6,2.3400941231121624,30.0,30.0,-0.006,0.006,0.00016049538680817932,-8.737245559692383,0.00942858774214983,-4.664009094238281,0.006753399997251108,0.0,0.0,0.0005577479023486376
7,11.844146228695918,-30.0,-30.0,0.006,-0.006,3.2054499570222106e-06,-12.650657653808594,0.0017115320079028606,-6.37036657333374,0.006438999997044448,0.0,0.0,0.0005577479023486376
8,10.842282476673267,-30.0,30.0,0.006,-0.006,1.904890450532548e-05,-10.868500709533691,0.0032897801138460636,-5.716934680938721,0.0028085999983886722,0.0,0.0,0.0005577479023486376
9,10.852712183933212,30.0,-30.0,0.006,-0.006,1.829061693570111e-05,-10.909122467041016,0.004132858477532864,-5.488786220550537,0.00268579999828944,0.0,0.0,0.0005577479023486376
10,8.702934262613518,-30.0,-30.0,-0.006,-0.006,8.518248250766192e-06,-11.673299789428711,0.002793540246784687,-5.88044548034668,0.0027313000027788803,0.0,0.0,0.0005577479023486376
11,10.787414458788124,-30.0,-30.0,0.006,-0.006,3.232259132346371e-06,-12.642329216003418,0.0017566254828125238,-6.344360828399658,0.0032799000000522938,0.0,0.0,0.0005577479023486376
12,-6.415550384748814,-30.0,-30.0,0.006,-0.006,0.00027360860258340836,-8.203811645507812,0.012001595459878445,-4.422715663909912,0.006509999999252614,0.0,0.0,0.0005577479023486376
13,12.766136968248892,-30.0,30.0,0.006,0.006,1.9506702301441692e-05,-10.844752311706543,0.003228416433557868,-5.7357635498046875,0.0031889999991108198,0.0,0.0,0.0005577479023486376
14,10.595830340423506,-30.0,30.0,-0.006,-0.006,1.8994502170244232e-05,-10.871360778808594,0.0032981564290821552,-5.714391708374023,0.002735699999902863,0.0,0.0,0.0005577479023486376
15,11.960337852634007,-30.0,-30.0,-0.006,0.006,3.3097198866016697e-06,-12.618646621704102,0.0017497861990705132,-6.348261833190918,0.0026096999972651247,0.0,0.0,0.0005577479023486376
16,12.657752660417982,-30.0,-30.0,-0.006,0.006,4.377941877464764e-06,-12.338932037353516,0.002079326193779707,-6.175711154937744,0.0027967999994871207,0.0,0.0,0.0005577479023486376
17,30.0,-30.0,-30.0,0.006,0.006,0.0002540344721637666,-8.278040885925293,0.013086726889014244,-4.336156845092773,0.006434799997805385,0.0,0.0,0.0005577479023486376
18,-10.380835674191578,30.0,-30.0,-0.006,-0.006,1.8947841454064474e-05,-10.873820304870605,0.0033055157400667667,-5.712162971496582,0.0032911999987845775,0.0,0.0,0.0005577479023486376
