step,q1,q2,q3,cv,ch,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-10.0,10.0,10.0,0.0,0.0,3.5676100651471643e-07,-14.846199989318848,0.0005577479023486376,-7.491603374481201,0.7203794000015478,0.0,0.0,0.0005577479023486376
1,-26.514983269908033,21.970568746496113,6.066900704592527,0.002496870933552546,-0.005752986068450371,4.017829633085057e-05,-10.122183799743652,0.00552279083058238,-5.198872089385986,0.014934299997548806,0.0,0.0,0.0005577479023486376
2,28.19459112971966,19.946558448025307,-17.25965335930343,-0.003818100393514793,-0.0037991458817587943,2.063505962723866e-05,-10.788518905639648,0.004520604852586985,-5.399109363555908,0.019095200001174817,0.0,0.0,0.0005577479023486376
3,-11.745465422427735,1.4853858979342718,-4.0832988814730555,-0.002505250317623497,0.0013422347366685537,9.40530480875168e-06,-11.574236869812012,0.002717008348554373,-5.908224105834961,0.016273900000669528,0.0,0.0,0.0005577479023486376
4,-21.63036836087749,-12.47132108788691,-8.0182894023785,-0.0005271601893955691,0.003422111536716163,0.00012068791693309322,-9.022302627563477,0.008632782846689224,-4.752188205718994,0.01336059999812278,0.0,0.0,0.0005577479023486376
5,-4.277197947162856,30.0,29.180978260699042,0.006,-0.006,4.222556162858382e-05,-10.072484970092773,0.005324982106685638,-5.235345840454102,0.006910699998115888,0.0,0.0,0.0005577479023486376
6,-11.823106379747763,30.0,30.0,-0.006,0.006,3.1888289413473103e-06,-12.65585708618164,0.0017053645569831133,-6.373976230621338,0.0029256000016175676,0.0,0.0,0.0005577479023486376
7,-11.71643734773905,-30.0,30.0,-0.006,-0.006,1.844325743149966e-05,-10.900812149047852,0.004169905558228493,-5.479861736297607,0.006532700001116609,0.0,0.0,0.0005577479023486376
8,-11.394434741270203,30.0,-30.0,-0.006,0.006,1.9174300177837722e-05,-10.861939430236816,0.0032712933607399464,-5.722569942474365,0.0034255999999004416,0.0,0.0,0.0005577479023486376
9,-11.472687857174694,30.0,30.0,-0.006,0.006,3.0141400202410296e-06,-12.712196350097656,0.0016436907462775707,-6.410810947418213,0.0027516999980434775,0.0,0.0,0.0005577479023486376
10,-11.10698899968471,30.0,-30.0,-0.006,-0.006,1.910841092467308e-05,-10.865382194519043,0.0032808638643473387,-5.719648361206055,0.002952200000436278,0.0,0.0,0.0005577479023486376
11,-11.726278485943478,30.0,30.0,-0.006,0.006,3.121281224593986e-06,-12.677267074584961,0.0016802968457341194,-6.388784885406494,0.004906599999230821,0.0,0.0,0.0005577479023486376
12,-10.443285236431473,30.0,30.0,-0.006,0.006,3.623047177825356e-06,-12.52819538116455,0.0018910567741841078,-6.2706193923950195,0.004017500003101304,0.0,0.0,0.0005577479023486376
13,-11.733511287428204,30.0,30.0,-0.006,-0.006,3.125818693661131e-06,-12.675814628601074,0.0016819729935377836,-6.387787818908691,0.002974899998662295,0.0,0.0,0.0005577479023486376
14,-11.661285088800572,30.0,30.0,-0.006,0.006,3.0841913485346595e-06,-12.689221382141113,0.0016667365562170744,-6.39688777923584,0.002808600002026651,0.0,0.0,0.0005577479023486376
15,-11.929629432031522,30.0,30.0,-0.006,0.006,3.280108103353996e-06,-12.627634048461914,0.0017390188295394182,-6.354434013366699,0.0027878000000782777,0.0,0.0,0.0005577479023486376
16,-11.637270713222959,30.0,30.0,0.006,0.006,3.0721653274667915e-06,-12.693127632141113,0.0016624294221401215,-6.39947509765625,0.0030143000003590714,0.0,0.0,0.0005577479023486376
17,-11.723726505531548,30.0,30.0,0.006,0.006,3.1196996133076027e-06,-12.677773475646973,0.0016797131393104792,-6.389132022857666,0.006418500001018401,0.0,0.0,0.0005577479023486376
18,-11.148762645480666,30.0,30.0,-0.006,0.006,3.0246301321312785e-06,-12.708722114562988,0.001662670518271625,-6.399330139160156,0.0027946999980486,0.0,0.0,0.0005577479023486376
19,-11.649997519943316,30.0,30.0,-0.006,0.006,3.0784258342464454e-06,-12.691092491149902,0.0016646637814119458,-6.39813232421875,0.0027411000010033604,0.0,0.0,0.0005577479023486376
20,-11.812791255635192,30.0,30.0,-0.006,0.006,3.1809336178412195e-06,-12.65833568572998,0.0017024317057803273,-6.375697612762451,0.002699900000152411,0.0,0.0,0.0005577479023486376
21,-11.66856648749802,30.0,30.0,-0.006,0.006,3.088016455876641e-06,-12.687981605529785,0.0016681186389178038,-6.396059036254883,0.0033121000014944,0.0,0.0,0.0005577479023486376
22,-11.79393085417072,30.0,30.0,-0.006,0.006,3.1669285363022937e-06,-12.662748336791992,0.0016972264274954796,-6.378759860992432,0.006512600000860402,0.0,0.0,0.0005577479023486376
23,-10.204485656685625,-12.72529700469602,-29.01806060520056,0.0038887042467889528,-0.006,0.00014827135601080954,-8.816466331481934,0.00880755577236414,-4.732145309448242,0.002980299999762792,0.0,0.0,0.0005577479023486376
24,-11.87689344197801,18.117415504330417,20.007828575474207,0.006,0.006,3.138871306873625e-06,-12.671647071838379,0.001751838717609644,-6.3470892906188965,0.0034870000017690472,0.0,0.0,0.0005577479023486376
25,-0.936899258621204,-30.0,26.258918044196772,-0.006,-0.006,1.4552979337167926e-05,-11.137714385986328,0.003080969676375389,-5.782510757446289,0.003002999997988809,0.0,0.0,0.0005577479023486376
26,-1.7566233136948561,2.5971547595172675,26.735185697003903,-0.006,-0.006,6.276356998569099e-06,-11.978720664978027,0.0023046587593853474,-6.072822570800781,0.0035647000004246365,0.0,0.0,0.0005577479023486376
27,4.795733068508729,30.0,-30.0,-0.006,-0.006,1.763543696142733e-05,-10.945600509643555,0.003880308009684086,-5.551840782165527,0.00642629999856581,0.0,0.0,0.0005577479023486376
28,10.28310842496616,-15.768653268453535,-25.167933117741995,-0.006,-0.006,2.39367363974452e-06,-12.942681312561035,0.0014127425383776426,-6.562222480773926,0.0029446000007737894,0.0,0.0,0.0005577479023486376
29,-4.274299923609459,30.0,-8.710449788257236,-0.006,-0.006,1.1269661627011374e-05,-11.393396377563477,0.0031997510232031345,-5.744682312011719,0.002782900002785027,0.0,0.0,0.0005577479023486376
30,-5.554042708326523,10.635499904356031,-30.0,-0.006,0.006,3.084590161961387e-06,-12.689091682434082,0.0016122909728437662,-6.430099010467529,0.0033242999998037703,0.0,0.0,0.0005577479023486376
31,-8.941163032495442,-28.015952059609074,22.735374308581036,-0.006,0.006,9.898541975417174e-06,-11.523122787475586,0.0023536751978099346,-6.051777362823486,0.006822900002589449,0.0,0.0,0.0005577479023486376
32,-12.523513696874481,11.383024901793267,-20.285919540060934,-0.006,-0.0015909911655857592,5.1923084356531035e-06,-12.16833209991455,0.0018580977339297533,-6.288201808929443,0.0071583999997528736,0.0,0.0,0.0005577479023486376
33,-5.7668743452641404,-30.0,30.0,0.006,0.006,1.7692571418592706e-05,-10.942365646362305,0.003919945564121008,-5.541677474975586,0.00286710000000312,0.0,0.0,0.0005577479023486376
